funding_date,from_funder_name,to_project_name,amount,grant_pool_name,metadata
2025-09-08,optimism,velodrome,3750.0,retrofunding_s8_onchain_builders,"{""application_name"": ""Velodrome Finance"", ""application_url"": ""https://atlas.optimism.io/project/0x08df6e20a3cfabbaf8f34d4f4d048fe7da40447c24be0f3ad513db6f13c755dd"", ""token_amount"": 5000.0, ""token_unit"": ""OP"", ""project_id"": ""0x08df6e20a3cfabbaf8f34d4f4d048fe7da40447c24be0f3ad513db6f13c755dd""}"
2025-09-08,optimism,pancakeswap,3750.0,retrofunding_s8_onchain_builders,"{""application_name"": ""PancakeSwap"", ""application_url"": ""https://atlas.optimism.io/project/0x1ac8413aaf8110410b9447af27251ba89311f5ec4e2d289006e834b122a44dbf"", ""token_amount"": 5000.0, ""token_unit"": ""OP"", ""project_id"": ""0x1ac8413aaf8110410b9447af27251ba89311f5ec4e2d289006e834b122a44dbf""}"
2025-09-08,optimism,kyo-finance,1839.7275,retrofunding_s8_onchain_builders,"{""application_name"": ""Kyo finance"", ""application_url"": ""https://atlas.optimism.io/project/0x5958eb35cf4d4b8871924adc5e6272eff2ac701e368ca6ad043ee486cce9e223"", ""token_amount"": 2452.97, ""token_unit"": ""OP"", ""project_id"": ""0x5958eb35cf4d4b8871924adc5e6272eff2ac701e368ca6ad043ee486cce9e223""}"
2025-09-08,optimism,world-mini-app-puf,3393.3075,retrofunding_s8_onchain_builders,"{""application_name"": ""PUF"", ""application_url"": ""https://atlas.optimism.io/project/0x2c41bf7b4d36a344881581e20ecb2929d38c3415fffa4bf65f81ae049dfb2e72"", ""token_amount"": 4524.41, ""token_unit"": ""OP"", ""project_id"": ""0x2c41bf7b4d36a344881581e20ecb2929d38c3415fffa4bf65f81ae049dfb2e72""}"
2025-09-08,optimism,virtual-protocol,3750.0,retrofunding_s8_onchain_builders,"{""application_name"": ""Virtuals Protocol"", ""application_url"": ""https://atlas.optimism.io/project/0x780cf3d5aa4e3c94b8a4157f4b06a3f92ebcc20813585e20e3fe0271bf76b7a9"", ""token_amount"": 5000.0, ""token_unit"": ""OP"", ""project_id"": ""0x780cf3d5aa4e3c94b8a4157f4b06a3f92ebcc20813585e20e3fe0271bf76b7a9""}"
2025-09-08,optimism,eth-infinitism-account-abstraction,3750.0,retrofunding_s8_onchain_builders,"{""application_name"": ""Account Abstraction - ERC-4337"", ""application_url"": ""https://atlas.optimism.io/project/0xb98778ca9ff41446e2bc304f7b5d27f0fa7c2bcd11df19e22d1352c06698a1f6"", ""token_amount"": 5000.0, ""token_unit"": ""OP"", ""project_id"": ""0xb98778ca9ff41446e2bc304f7b5d27f0fa7c2bcd11df19e22d1352c06698a1f6""}"
2025-09-08,optimism,worldrepublicorg,2160.765,retrofunding_s8_onchain_builders,"{""application_name"": ""World Republic"", ""application_url"": ""https://atlas.optimism.io/project/0x5831a5bc2b6e683bcb8e392453a85c5e7f755aa700e827ed9c3e1c6d67fb2a96"", ""token_amount"": 2881.02, ""token_unit"": ""OP"", ""project_id"": ""0x5831a5bc2b6e683bcb8e392453a85c5e7f755aa700e827ed9c3e1c6d67fb2a96""}"
2025-09-08,optimism,holdstation,2190.6225,retrofunding_s8_onchain_builders,"{""application_name"": ""Eggs Vault"", ""application_url"": ""https://atlas.optimism.io/project/0xf4e56e0c6654d6ef621191708f27ee20242462f541d3e79dc5512e1a10d90736"", ""token_amount"": 2920.83, ""token_unit"": ""OP"", ""project_id"": ""0xf4e56e0c6654d6ef621191708f27ee20242462f541d3e79dc5512e1a10d90736""}"
2025-09-08,optimism,relayprotocol,3750.0,retrofunding_s8_onchain_builders,"{""application_name"": ""Relay Protocol"", ""application_url"": ""https://atlas.optimism.io/project/0x250065e82e6a2fd0127f0f7c7e0df7eb305810bd9796f72aa28a0c7f2c71ae08"", ""token_amount"": 5000.0, ""token_unit"": ""OP"", ""project_id"": ""0x250065e82e6a2fd0127f0f7c7e0df7eb305810bd9796f72aa28a0c7f2c71ae08""}"
2025-09-08,optimism,party-dao,2791.59,retrofunding_s8_onchain_builders,"{""application_name"": ""ORO"", ""application_url"": ""https://atlas.optimism.io/project/0x40ee6048c99aefd288f6133db207849d0951fe6b62afa1cca0db5a4ad7f558de"", ""token_amount"": 3722.12, ""token_unit"": ""OP"", ""project_id"": ""0x40ee6048c99aefd288f6133db207849d0951fe6b62afa1cca0db5a4ad7f558de""}"
